,EpiP[ug],EntrP[ug],IepiP,SedPepi[ug],Ep[ug],Hvd,HypP[ug],SedPhyp[ug],Rp[ug],IsedP[ug],Psed[ug],Bp[ug],PEPItrue[ug],HYPtrue[ug],EpiV[L],HypV[L],Time,Sedv[L],Season
19,3810632438046.6377,0.0,174361.53887335473,5642883.43905144,979478027.8880361,0.0,5277622340845.043,1787291.5390622308,62784.54080113326,57156.9156020187,145328698.68620503,377.9772225373015,3087113993855.607,4288269124423.9644,36064516129.03226,49935483870.96774,1981-01-20,1664516129.032272,winter
20,3809809813949.889,0.0,240134.02999428668,5645265.964589964,1388425326.7541428,0.0,5277049493326.346,1785341.5825624778,65467.235631517346,78717.59204606057,152693440.83690763,398.16081831837,3087208448540.708,4258402949308.7593,36064516129.03226,49935483870.96774,1981-01-21,1664516129.032272,winter
21,3809292968216.0376,0.0,221649.99052105882,5599194.595017295,1320101970.6740792,0.0,5276239216954.799,1783331.573523724,68083.05889794434,72658.39636000371,160007465.60835662,418.3381940737196,3082794838709.6772,4237275483870.9683,36064516129.03226,49935483870.96774,1981-01-22,1664516129.032272,winter
22,3808757763491.1055,0.0,211487.34546471483,5599957.110847884,1298761757.5906239,0.0,5275468630561.429,1780837.2964992477,70619.34119321247,69327.01118451137,167317202.29789245,438.37661810508666,3065380829493.089,4244373456221.1997,36064516129.03226,49935483870.96774,1981-01-23,1664516129.032272,winter
23,3808229247352.318,0.0,201898.81393822658,5586627.016432457,1279693166.1592822,0.0,5274710430494.034,1778339.0384572337,73843.3927968092,66183.82438570217,174607866.55669138,458.40329396682864,3072310368663.5933,4215517880184.3306,36064516129.03226,49935483870.96774,1981-01-24,1664516129.032272,winter
24,3807987074822.2354,0.0,149988.76114289698,5585396.270143731,982225706.3572837,0.0,5273963292380.102,1775775.696016215,77078.19745000455,49167.35088076228,181891481.9476847,478.3777165936751,3156417972350.23,4231140552995.391,36064516129.03226,49935483870.96774,1981-01-25,1664516129.032272,winter
25,3807894396425.581,0.0,97432.3641636697,5555135.705983133,660010969.7202688,0.0,5273388840831.559,1773551.717243634,80340.58189633822,31939.001292325964,189139330.4561879,498.33282725393076,3092274654377.8804,4194580645161.2905,36064516129.03226,49935483870.96774,1981-01-26,1664516129.032272,winter
26,3807304996565.607,0.0,138220.45271275257,5515876.373221013,969728074.4524838,0.0,5273001492837.089,1771036.192505938,83602.50343405423,45309.61817166494,196342122.32853433,518.1899464553094,3050027649769.586,4192654562211.983,36064516129.03226,49935483870.96774,1981-01-27,1664516129.032272,winter
27,3806624393875.297,0.0,170562.82377647268,5513598.520424735,1240762763.820852,0.0,5272434364149.265,1768235.2241778262,86744.93833200993,55911.67058071669,203536673.21118206,537.9236228179024,3043020829493.089,4188017695852.533,36064516129.03226,49935483870.96774,1981-01-28,1664516129.032272,winter
28,3806066481686.194,0.0,168872.13807966918,5460485.701938462,1275485499.7258933,0.0,5271709879529.985,1764934.443589125,89881.89892608671,55357.452142945695,210671653.82306242,557.6347211265263,3031222580645.161,4169612903225.8066,36064516129.03226,49935483870.96774,1981-01-29,1664516129.032272,winter
29,3805507940852.3154,0.0,165047.03717289088,5437615.726768284,1296267376.6557324,0.0,5270965264082.821,1763432.8811268592,92993.62597093308,54103.55767108781,217779131.6223734,577.1826132138697,3062392626728.112,4194580645161.2905,36064516129.03226,49935483870.96774,1981-01-30,1664516129.032272,winter
30,3804958299998.614,0.0,158856.2694322957,5414766.926994934,1299441270.6133573,0.0,5270208595841.74,1760019.9729720296,96032.27978582095,52074.18128712558,224857289.58739942,596.6551551297903,3021691244239.6313,4176318525345.621,36064516129.03226,49935483870.96774,1981-01-31,1664516129.032272,winter
31,3804693141515.328,0.0,119136.09584417018,5414867.986522773,1016754163.8160948,0.0,5269450084846.578,1757699.256613521,99062.88224236394,39053.63430099802,231930177.90092462,616.0473687326013,3049512442396.3135,4194580645161.2905,36064516129.03226,49935483870.96774,1981-02-01,1664516129.032272,winter
32,3804665202336.312,0.0,68972.96639841076,5422002.541246503,615356562.417089,0.0,5268855683847.666,1755278.2608701503,102082.5097659441,22609.814324466715,239004740.7681304,635.4251449340402,2995930875576.0376,4148211981566.822,36064516129.03226,49935483870.96774,1981-02-02,1664516129.032272,winter
33,3804053562572.0933,0.0,103352.67342236673,5489293.91255045,965982893.9286005,0.0,5268494357467.198,1735284.1131172741,104094.8743163983,33879.71951965807,246124569.11197278,654.8075089537821,3025297695852.535,4249866359447.002,36064516129.03226,49935483870.96774,1981-02-03,1664516129.032272,winter
34,3803325578456.872,0.0,137615.3069951496,5462734.760927899,1286010874.816967,0.0,5267929425792.047,1731636.1664534016,106728.8179063369,45111.24722970463,253211536.90755972,674.3138879780078,3004277235023.0435,4169042211981.566,36064516129.03226,49935483870.96774,1981-02-04,1664516129.032272,winter
35,3802633821124.0596,0.0,153658.64700982466,5397117.063942221,1435660605.3634799,0.0,5267178709686.4,1729405.5879432575,109660.5459553492,50370.36479151575,260227705.28325173,693.7302381029034,2957290322580.645,4098704516129.032,36064516129.03226,49935483870.96774,1981-02-05,1664516129.032272,winter
36,3802055760630.986,0.0,150814.06012265355,5381559.374021224,1408826827.026952,0.0,5266341146646.289,1727996.205880055,112597.47119664373,49437.889581195755,267223950.43933913,712.9526172143884,2972918279569.8936,4121009032258.064,36064516129.03226,49935483870.96774,1981-02-06,1664516129.032272,winter
37,3801533155220.5674,0.0,143232.03025281688,5362852.688533536,1337796034.443618,0.0,5265519172697.869,1726236.2749005589,115580.0893064198,46952.44787104311,274196727.1930547,732.120412162573,2981333333333.3345,4128000000000.002,36064516129.03226,49935483870.96774,1981-02-07,1664516129.032272,winter
38,3801289097374.178,0.0,109006.45493645998,5340803.2404547315,1017987096.0333524,0.0,5264738440779.557,1725169.3514388008,118564.39913010385,35733.0681131687,281143384.16190803,751.2239101179581,2993354838709.6772,4154632258064.516,36064516129.03226,49935483870.96774,1981-02-08,1664516129.032272,winter
39,3801197907676.887,0.0,72755.6784136663,5326541.474485802,679405516.9671711,0.0,5264143393986.603,1722604.2647084726,121566.97149520835,23849.81342518435,288070192.67376006,770.2558470189263,3005376344086.02,4161290322580.6436,36064516129.03226,49935483870.96774,1981-02-09,1664516129.032272,winter
40,3800501243333.108,0.0,116551.71098824237,5310293.403635718,1088354580.4528687,0.0,5263744951091.597,1721714.4396109914,124591.3449458311,38206.455112010175,294976819.9386564,789.233404585644,3017397849462.3667,4177935483870.969,36064516129.03226,49935483870.96774,1981-02-10,1664516129.032272,winter
