,sol[W/m2],St,EpiV,HypV,HypTemp,u2*[m/s],EpiTemp,PEPItrue,EpiPpred,HypPpred,PLoad
32,39.083333333333336,-362.2695334921111,36064516129032.26,49935483870967.74,6.2567,0.0065539164056762,6.1374,2995930875576037.0,3808639699404494.5,5274338082713356.0,137232392942.0248
33,81.04166666666667,-369.8795859064621,36064516129032.26,49935483870967.74,6.2393,0.0576378379630072,6.120150000000001,3025297695852535.0,3808090758298710.5,5274055261916243.0,182726554224.85425
34,49.375,-365.848908030752,36064516129032.26,49935483870967.74,6.2292000000000005,0.1681809016774793,6.0764,3004277235023043.5,3807444325780253.0,5273595051316990.0,204029011801.3404
35,80.75,-376.95295747618457,36064516129032.26,49935483870967.74,6.22345,0.0155535860714066,6.06645,2957290322580645.0,3806841080077503.0,5272963136150930.0,200251949703.84927
36,48.16666666666666,-378.0235551530719,36064516129032.26,49935483870967.74,6.2161,0.0063394864873386,6.0542,2972918279569893.0,3806348055048090.5,5272244057794649.0,190184478123.86
37,34.25,-388.35887874208447,36064516129032.26,49935483870967.74,6.21215,0.0023752427069754,6.03955,2981333333333334.5,3805905804496101.0,5271535222602381.0,144739523049.6287
38,29.291666666666668,-387.2601763230849,36064516129032.26,49935483870967.74,6.2007,0.0028934512731016,6.02995,2993354838709677.0,3805720523287653.5,5270844128072948.0,96605491838.85066
39,41.125,-384.5777301463636,36064516129032.26,49935483870967.74,6.19725,0.0231258958721728,6.018800000000001,3005376344086020.0,3805667908447517.0,5270311198487535.0,154758166100.25253
40,61.833333333333336,-396.6012528704163,36064516129032.26,49935483870967.74,6.18945,0.0100044174605035,6.0221,3017397849462366.5,3805042001717114.5,5270000281580188.0,194592696173.30377
41,124.33333333333331,-403.67517353575727,36064516129032.26,49935483870967.74,6.18235,0.0946413455344511,6.005599999999999,3029419354838709.0,3804388811337464.0,5269476237221775.0,198131442674.9857
42,120.375,-389.8713220930066,36064516129032.26,49935483870967.74,6.1732,0.1551556242062188,5.9971,3041440860215052.0,3803872236396204.0,5268794451433714.0,190911402738.3804
43,102.20833333333331,-382.6475181392253,36064516129032.26,49935483870967.74,6.1652000000000005,0.0530129413340632,5.9811,3053462365591399.0,3803417092583646.5,5268095019663032.0,190572786329.21164
44,101.08333333333331,-386.342200452604,36064516129032.26,49935483870967.74,6.15475,0.0206962332230841,5.971,3065483870967741.0,3802935296728553.5,5267424452182826.0,148206888176.3377
45,120.125,-384.2771522380557,36064516129032.26,49935483870967.74,6.14875,0.0018911861211355,5.97485,3077505376344085.0,3802729118106354.5,5266734155744460.0,95731865819.52954
46,114.29166666666669,-382.0243074194273,36064516129032.26,49935483870967.74,6.14135,0.0003519127447728,5.95135,3089526881720431.0,3802696179795882.5,5266187384795855.0,148328069255.8458
47,33.416666666666664,-373.06979956646353,36064516129032.26,49935483870967.74,6.13215,0.060014095741611,5.94945,3101548387096774.0,3802109354895868.0,5265877078061716.0,192799421222.4529
48,64.95833333333333,-405.7866889020687,36064516129032.26,49935483870967.74,6.12355,0.1394112020329832,5.940799999999999,3108701182795699.5,3801442711271226.5,5265378399193120.0,197386389457.29764
49,71.125,-425.2694079727863,36064516129032.26,49935483870967.74,6.1173,0.0903895933222264,5.92325,3122586021505375.0,3800924302280183.0,5264704054393762.0,194620860253.22504
50,98.04166666666669,-439.5748467516144,36064516129032.26,49935483870967.74,6.1071,0.0018617817409342,5.9055,3132563870967742.0,3800442376621993.0,5264010105380320.0,202268325172.8506
51,82.54166666666667,-433.2973793346304,36064516129032.26,49935483870967.74,6.0968,0.006338977747224,5.88945,3153841935483871.0,3799899501553201.5,5263331163868572.0,154718509780.82312
52,105.0,-428.017205736315,36064516129032.26,49935483870967.74,6.08985,0.000433124818474,5.8833,3115433225806451.0,3799697847018700.0,5262597947638433.0,99840098649.8883
53,56.833333333333336,-415.7650746987304,36064516129032.26,49935483870967.74,6.0825,0.0063067486055916,5.86385,3104253225806451.5,3799664211872402.5,5262027680635615.0,150091777318.19684
54,72.70833333333333,-402.7960738430908,36064516129032.26,49935483870967.74,6.07575,0.0021504398588087,5.86475,3094335483870968.0,3799082844254505.0,5261702154017806.0,187916514331.73032
55,102.625,-377.04220158677015,36064516129032.26,49935483870967.74,6.06515,0.007329021638316,5.8543,3132203225806451.0,3798455748581309.0,5261194482966493.0,193141976286.47656
56,113.70833333333331,-362.2559919366605,36064516129032.26,49935483870967.74,6.056150000000001,0.0003816541702748,5.860049999999999,3072696774193548.5,3797945991592976.0,5260538199445708.0,190213289653.89444
57,95.08333333333331,-336.4241858335597,36064516129032.26,49935483870967.74,6.04385,0.0004764384487286,5.86165,3036632258064516.0,3797476301232628.0,5259859679819868.0,187377296295.84247
58,44.958333333333336,-327.0990721940874,36064516129032.26,49935483870967.74,6.03585,0.0001979924203566,5.8455,3060074193548386.5,3797013465517364.0,5259191559927624.0,151345186783.04675
59,64.70833333333333,-319.7156992552139,36064516129032.26,49935483870967.74,6.0261,0.0029422583857341,5.853999999999999,3049435161290322.5,3796774465737617.5,5258516860405648.0,101097015136.18428
60,91.75,-319.4503529150634,36064516129032.26,49935483870967.74,6.01745,0.0128655420723404,5.8412,3042402580645161.0,3796719205836974.5,5257961201788704.0,131809404748.5968
61,48.875,-280.58813096438587,36064516129032.26,49935483870967.74,6.0095,0.0333826631701039,5.8399,3004174193548386.5,3796262651853561.0,5257621831576704.0,177727229821.2638
62,69.625,-291.94665181785325,36064516129032.26,49935483870967.74,6.0049,0.0005020697233929,5.841950000000001,2964503225806451.0,3795658475010305.5,5257182641367596.0,197743616714.40182
63,156.41666666666666,-284.52854777994986,36064516129032.26,49935483870967.74,5.996700000000001,0.0151687264978476,5.8444,3013190322580645.0,3795124665973480.0,5256586823755198.0,212054045181.37283
64,29.875,-239.3789733011121,36064516129032.26,49935483870967.74,5.99055,0.0332683725673469,5.84005,2953683870967742.0,3794593964311444.0,5255938067158460.0,211745657293.39792
65,148.25,-250.16196506244592,36064516129032.26,49935483870967.74,5.98155,0.0107457160683455,5.83875,3007420000000000.0,3794131577798362.5,5255253066556731.0,174369417939.77362
66,13.25,-190.0100751579574,36064516129032.26,49935483870967.74,5.9737,0.1328267858277682,5.85465,2928438709677419.0,3793895221518965.0,5254568154158572.0,133383560910.86848
67,127.125,-148.20365447671705,36064516129032.26,49935483870967.74,5.947150000000001,0.0335212201181307,5.8647,2937454838709677.0,3793762959928849.5,5254012731472963.0,219151709162.72607
68,100.625,34.12366363901019,36064516129032.26,49935483870967.74,5.89215,0.0001893463989202,5.88085,2903193548387096.5,3793018207491700.0,5253656316326317.0,272600950540.6764
69,64.29166666666667,67.40219536161756,36064516129032.26,49935483870967.74,5.89185,0.0668937356674408,5.88145,3024009677419354.5,3792294702669230.5,5253043656040744.0,318139605326.5945
70,20.541666666666668,77.19861993802644,36064516129032.26,49935483870967.74,5.8916,0.0288120882454465,5.8824000000000005,2849096774193548.5,3791525831471181.5,5252290587583666.0,454080364445.4189
71,100.875,51.58137669700914,36064516129032.26,49935483870967.74,5.89115,0.1125497506737494,5.88355,3017397849462366.5,3790221077532815.0,5251474851112986.0,545488997729.5821
72,118.70833333333331,49.00356683133875,36064516129032.26,49935483870967.74,5.8907,0.0752117947842531,5.8845,3008982795698925.0,3788919004540461.5,5250289303111307.0,363394685923.0792
73,78.70833333333333,58.74473866420493,36064516129032.26,49935483870967.74,5.89045,0.0038812284142003,5.88845,2921225806451613.0,3788834722993381.0,5248753831078901.0,261736679919.1341
74,103.66666666666669,36.751338333408455,36064516129032.26,49935483870967.74,5.89025,0.0401945631760525,5.89275,2993354838709677.0,3788684872482066.5,5247762500244131.0,296003247954.2208
75,80.79166666666667,22.8722496070987,36064516129032.26,49935483870967.74,5.8900500000000005,0.0125232300711401,5.8947,2966306451612903.5,3788068372983529.0,5247117012296714.0,326092324676.7673
76,125.625,-1.4527723690550955,36064516129032.26,49935483870967.74,5.88935,0.0207302439017329,5.89135,2954405161290323.0,3787332813195764.0,5246399290092554.0,304013074980.7686
77,204.33333333333331,-19.348238944495,36064516129032.26,49935483870967.74,5.8879,0.0065495168665303,5.8879,2958973333333335.0,3786769282705654.5,5245544409488849.0,277626975568.3285
