,EpiP[ug],EntrP[ug],IepiP,SedPepi[ug],Ep[ug],Hvd,HypP[ug],SedPhyp[ug],Rp[ug],IsedP[ug],Psed[ug],Bp[ug],PEPItrue[ug],HYPtrue[ug],EpiV[L],HypV[L],Time,Season,PLoad
15,3814509919100810.5,0.0,190829425276.7489,1668041160.1375153,1257071956533.4128,0.0,5283298076575701.0,517012505.70808816,93755943.60319765,190829425276.7489,5.033187931126556e+16,13789559180.692335,3060331797235024.0,4308397880184330.5,36064516129032.26,49935483870967.74,1981-01-16,winter,361392484064.6357
16,3814128673229063.5,0.0,180696242032.31784,1651544297.2656076,1260214483208.0564,0.0,5282778423966507.0,516449497.5056349,91511997.49432391,180696242032.31784,5.033186759819138e+16,13789555975.689196,3075101075268818.0,4813721198156681.0,36064516129032.26,49935483870967.74,1981-01-17,winter,281702652113.5801
17,3813927626120480.0,0.0,140851326056.79004,1652344689.577449,1043618946697.9612,0.0,5282215476105452.0,515954803.40493757,89624440.02790059,140851326056.79004,5.0331855887313656e+16,13789552766.627775,3074070660522272.0,4312939631336406.5,36064516129032.26,49935483870967.74,1981-01-18,winter,181246165557.33145
18,3813884455073319.0,0.0,90623082778.66573,1642293995.3616872,716186012310.9314,0.0,5281721637225994.0,515498571.94368577,87712702.81835303,90623082778.66573,5.033184416784395e+16,13789549558.168125,3080940092165897.0,4311037327188940.0,36064516129032.26,49935483870967.74,1981-01-19,winter,231518454475.37344
19,3813420426787991.5,0.0,115759227237.68672,1626149180.196103,980168113883.9814,0.0,5281434960546187.0,515052490.37166166,85895945.79818502,115759227237.68672,5.0331832433603336e+16,13789546347.35451,3087113993855607.0,4288269124423965.0,36064516129032.26,49935483870967.74,1981-01-20,winter,318851622040.3472
20,3812740007103089.0,0.0,159425811020.1736,1626879808.359445,1389441146107.5266,0.0,5281042733440058.0,514503554.7638124,84116401.07730435,159425811020.1736,5.033182070132716e+16,13789543132.494064,3087208448540708.0,4258402949308760.0,36064516129032.26,49935483870967.74,1981-01-21,winter,294308386881.0625
21,3812346252218701.5,0.0,147154193440.53125,1613663180.0102384,1321117284809.1392,0.0,5280407634214477.0,513941923.9999965,82393062.66573659,147154193440.53125,5.033180895699928e+16,13789539918.171825,3082794838709677.0,4237275483870969.0,36064516129032.26,49935483870967.74,1981-01-22,winter,280814356649.2262
22,3811929363809192.0,0.0,140407178324.6131,1613935211.8089986,1299802761401.7798,0.0,5279803487776195.0,513240179.5749399,80732354.32807906,140407178324.6131,5.033179721390561e+16,13789536700.547749,3065380829493089.0,4244373456221200.0,36064516129032.26,49935483870967.74,1981-01-23,winter,268082638323.9287
23,3811513869855632.5,0.0,134041319161.96436,1610143570.5008705,1280758782694.8752,0.0,5279204263731170.0,512536393.8202607,80825751.10933468,134041319161.96436,5.033178546622634e+16,13789533483.26181,3072310368663593.0,4215517880184330.5,36064516129032.26,49935483870967.74,1981-01-24,winter,199156112023.65924
24,3811351565944790.0,0.0,99578056011.82962,1609836774.4144187,983072882419.6697,0.0,5278580610161658.0,511813083.9742608,80939900.71287008,99578056011.82962,5.0331773717406024e+16,13789530264.719545,3156417972350230.0,4231140552995391.0,36064516129032.26,49935483870967.74,1981-01-25,winter,129371365455.99567
